N_arv;UPA;UT;Nome_Cientifico;Nome_Popular;DAP_cm;Alt;Categoria;QF;Vol;g;lat;lon
10001;6;1;Parkia gigantocarpa;Fava-atanã;114,59;19;Remanescente;1;12,4891;1,0313;-5,907904;-54,969096
10002;6;1;Bagassa guianensis;Tatajuba;67,48;17;Remanescente;1;4,3893;0,3577;-5,907938;-54,969117
10003;6;1;Castilla ulei;Caucho;52,52;11;Explorar;1;1,8263;0,2166;-5,907999;-54,969913
10004;6;1;Castilla ulei;Caucho;40,74;13;Remanescente;1;1,1068;0,1304;-5,906353;-54,969991
10005;6;1;Vochysia maxima;Quaruba;47,75;15;Remanescente;2;1,8325;0,179;-5,906086;-54,97024
10006;6;1;Copaifera duckei;Copaíba;43,93;18;Remanescente;1;1,7038;0,1515;-5,905871;-54,97024
10007;6;1;Pseudopiptadenia psilostachya;Timborana;59,52;16;Explorar;2;3,2062;0,2783;-5,90586;-54,970205
10008;6;1;Bertholletia excelsa;Castanheira;135,28;20;Remanescente;1;16,5552;1,4374;-5,905836;-54,970093
10009;6;1;Hymenolobium petraeum;Angelim-pedra;72,57;20;Explorar;1;5,7342;0,4137;-5,9052;-54,970099
10010;6;1;Manilkara elata;Maçaranduba;44,88;15;Remanescente;1;1,5734;0,1582;-5,904782;-54,97013
10011;6;1;Copaifera duckei;Copaíba;50,61;19;Remanescente;1;2,5055;0,2012;-5,904175;-54,97016
10012;6;1;Goupia glabra;Cupiúba;63,66;14;Substituta;1;3,3641;0,3183;-5,903404;-54,970419
10013;6;1;Goupia glabra;Cupiúba;74,8;16;Explorar;2;5,1779;0,4395;-5,903429;-54,970432
10014;6;1;Handroanthus serratifolius;Ipê-amarelo;47,43;20;Remanescente;1;2,224;0,1767;-5,903457;-54,970452
10015;6;1;Manilkara elata;Maçaranduba;48,7;17;Remanescente;1;2,1074;0,1863;-5,903448;-54,970513
10016;6;1;Manilkara elata;Maçaranduba;45,52;17;Remanescente;1;1,7862;0,1627;-5,904159;-54,970293
10017;6;1;Vochysia maxima;Quaruba;64,62;18;Remanescente;1;4,1762;0,3279;-5,904591;-54,97034
10018;6;1;Astronium lecointei;Muiracatiara;44,56;21;Remanescente;1;1,9751;0,156;-5,904806;-54,970276
10019;6;1;Enterolobium spp.;Fava-timbaúba;48,38;17;Remanescente;2;2,0743;0,1839;-5,905158;-54,970427
10020;6;1;Manilkara elata;Maçaranduba;47,75;16;Remanescente;1;1,9215;0,179;-5,905643;-54,97043
10021;6;1;Pseudopiptadenia psilostachya;Timborana;66,85;18;Substituta;2;4,4863;0,3509;-5,905754;-54,970461
10022;6;1;Couratari guianensis;Tauari;42,97;21;Remanescente;1;1,8022;0,145;-5,906036;-54,970417
10023;6;1;Manilkara elata;Maçaranduba;74,17;19;Explorar;1;5,7705;0,432;-5,906069;-54,970479
10024;6;1;Goupia glabra;Cupiúba;63,66;14;Explorar;1;3,3641;0,3183;-5,906245;-54,970401
10025;6;1;Hymenolobium petraeum;Angelim-pedra;55,7;18;Remanescente;1;3,0109;0,2437;-5,906408;-54,970343
10026;6;1;Handroanthus serratifolius;Ipê-amarelo;70,03;22;Explorar;1;5,7121;0,3852;-5,906484;-54,970334
10027;6;1;Enterolobium schomburgkii;Fava-de-rosca;82,12;19;Remanescente;2;7,033;0,5297;-5,90695;-54,970252
10028;6;1;Schizolobium amazonicum;Paricá;41,38;17;Remanescente;1;1,4038;0,1345;-5,907281;-54,970497
10029;6;1;Castilla ulei;Caucho;49,97;10;Remanescente;1;1,5115;0,1962;-5,907636;-54,970368
10030;6;1;Hymenaea courbaril;Jatobá;88,17;21;Substituta;1;8,6259;0,6106;-5,907897;-54,970281
10031;6;1;Manilkara elata;Maçaranduba;56,02;15;Explorar;1;2,6691;0,2465;-5,908186;-54,970355
10032;6;1;Apuleia leiocarpa;Garapeira;80;19;Remanescente;1;6,6908;0,5027;-5,909191;-54,970132
10033;6;1;Castilla ulei;Caucho;55;13;Remanescente;1;2,3021;0,2376;-5,909798;-54,970265
