Nome: CONCEICAO DO ARAGUAIA
Codigo Estacao: 82861
Latitude: -8.25916666
Longitude: -49.26388888
Altitude: 179.02
Situacao: Operante
Data Inicial: 1984-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);
1984-01-01;2;25,42;98,25;
1984-01-02;2,2;24,48;98,75;
1984-01-03;1,2;24,82;97,25;
1984-01-04;,6;25,32;98;
1984-01-05;0;25,78;98;
1984-01-06;6,2;25,46;98;
1984-01-07;3,1;23,88;98;
1984-01-08;17,1;24,68;97,5;
1984-01-09;0;24,48;96,5;
1984-01-10;0;24,32;93,5;
1984-01-11;,6;25,22;98;
1984-01-12;0;26,34;96,75;
1984-01-13;0;26,7;96,5;
1984-01-14;0;24,64;97;
1984-01-15;20,1;23,34;98;
1984-01-16;0;25,58;96,5;
1984-01-17;0;24;97,75;
1984-01-18;,4;24,88;96,25;
1984-01-19;0;25,62;98;
1984-01-20;3;24,06;97,25;
1984-01-21;2,5;25,94;96,5;
1984-01-22;30;25,48;97,25;
1984-01-23;0;27,18;95,75;
1984-01-24;0;26,6;96,5;
1984-01-25;1,1;23,98;98,75;
1984-01-26;20,5;25,1;97,75;
1984-01-27;0;25,22;98,5;
1984-01-28;0;25,94;98;
1984-01-29;1,8;26,1;97;
1984-01-30;,3;26,32;98;
1984-01-31;,3;24,58;96;
1984-02-01;2;25,36;95,25;
1984-02-02;0;24,68;96;
1984-02-03;22,8;25,5;96,5;
1984-02-04;0;24,52;96,25;
1984-02-05;10;23,88;96,75;
1984-02-06;5;25,42;97,75;
1984-02-07;0;23,72;97,75;
1984-02-08;43,1;25,86;96,75;
1984-02-09;7,4;25,36;98,5;
1984-02-10;22;25,2;96,75;
1984-02-11;4,4;23,48;98,25;
1984-02-12;17,2;25,54;97,5;
1984-02-13;3,7;25,8;96,75;
1984-02-14;1,5;25,76;98,5;
1984-02-15;1,9;25,78;95,5;
1984-02-16;2,5;24,46;98,75;
1984-02-17;1;25,88;96,75;
1984-02-18;1,4;25,88;96,25;
1984-02-19;0;25,3;98,5;
1984-02-20;0;25,9;96;
1984-02-21;0;26,56;96,5;
1984-02-22;0;26,14;95,75;
1984-02-23;,5;26,98;96,75;
1984-02-24;22,8;23,5;98,5;
1984-02-25;0;24,44;97,5;
1984-02-26;0;26,3;97,5;
1984-02-27;20;23,44;97,75;
1984-02-28;7,8;25,14;96,5;
1984-02-29;4,4;23,6;96;
1984-03-01;34,4;24,04;95,5;
1984-03-02;61,3;24,24;97,5;
1984-03-03;0;25,72;97;
1984-03-04;0;25,12;95;
1984-03-05;48,8;25,68;97;
1984-03-06;0;26,26;95,5;
1984-03-07;0;24,9;97;
1984-03-08;0;25,36;97;
1984-03-09;,5;25,26;97,75;
1984-03-10;0;25,02;98,25;
1984-03-11;18,1;26,06;98,25;
1984-03-12;0;26,56;98;
1984-03-13;36;25,18;98,25;
1984-03-14;0;25,16;98,25;
1984-03-15;43,2;26,3;96,25;
1984-03-16;0;24,58;98,25;
1984-03-17;41,2;23,32;98,75;
1984-03-18;16,6;25,12;95,75;
1984-03-19;1,8;26,5;97;
1984-03-20;0;26,3;97,5;
1984-03-21;1,6;25,1;98,25;
1984-03-22;12,6;26,18;96;
1984-03-23;6,1;27,22;95;
1984-03-24;0;27,56;96,75;
1984-03-25;10,5;24,96;99;
1984-03-26;3,8;26,9;95;
1984-03-27;0;27,16;94,25;
1984-03-28;19;25,22;97,25;
1984-03-29;6,2;26,64;97,25;
1984-03-30;10;23,76;98,75;
1984-03-31;29,3;25,92;96,25;
1984-04-01;0;25,54;null;
1984-04-02;67,6;23,76;null;
1984-04-03;53;24,22;null;
1984-04-04;9;24,7;null;
1984-04-05;1,6;24,9;null;
1984-04-06;9,4;25,68;null;
1984-04-07;51,9;23,62;null;
1984-04-08;38,6;24,08;null;
1984-04-09;8,5;25,94;null;
1984-04-10;5,3;26,34;null;
1984-04-11;0;25,38;null;
1984-04-12;1,1;26,06;null;
1984-04-13;0;27,18;null;
1984-04-14;4;24,14;null;
1984-04-15;13,2;23,18;null;
1984-04-16;14,8;25,54;null;
1984-04-17;1,8;24,72;null;
1984-04-18;0;24,8;null;
1984-04-19;36,4;23,4;null;
1984-04-20;12,6;25,22;null;
1984-04-21;8,5;26;null;
1984-04-22;,4;24,92;null;
1984-04-23;6,7;25,74;null;
1984-04-24;1;26,84;null;
1984-04-25;5,5;24,8;null;
1984-04-26;19,3;23,56;null;
1984-04-27;,8;25,68;null;
1984-04-28;,5;24,64;null;
1984-04-29;3,8;25,86;null;
1984-04-30;0;26,52;95,75;
1984-05-01;0;25,5;97,25;
1984-05-02;23,3;25,62;97,25;
1984-05-03;2,7;25,18;98;
1984-05-04;11;25,58;98,25;
1984-05-05;0;26,02;96,5;
1984-05-06;0;26,54;94,75;
1984-05-07;0;26,36;96;
1984-05-08;0;26,46;96,25;
1984-05-09;0;null;null;
1984-05-10;null;null;null;
1984-05-11;null;null;null;
1984-05-12;null;null;null;
1984-05-13;null;null;null;
1984-05-14;0;26,94;95,5;
1984-05-15;0;26,62;98,25;
1984-05-16;2,1;25,06;96;
1984-05-17;6,4;26,06;96,5;
1984-05-18;0;26,8;93,75;
1984-05-19;0;27;95,75;
1984-05-20;,2;26,74;95,75;
1984-05-21;0;26,42;97,75;
1984-05-22;0;27,56;96;
1984-05-23;0;27,14;94,75;
1984-05-24;0;26,48;96,75;
1984-05-25;,8;27,02;95,75;
1984-05-26;0;27,24;94,25;
1984-05-27;0;27,24;93,75;
1984-05-28;,3;26,98;93,25;
1984-05-29;0;26,52;94;
1984-05-30;0;26,46;95;
1984-05-31;0;27,02;93;
1984-06-01;0;26,98;93,5;
1984-06-02;0;25,82;90,5;
1984-06-03;0;26,34;93,25;
1984-06-04;0;26,18;null;
1984-06-05;0;26,38;94,5;
1984-06-06;0;27,18;93,25;
1984-06-07;0;27,84;93,5;
1984-06-08;0;25,14;94;
1984-06-09;1,2;27,04;93,75;
1984-06-10;22,8;27,34;95;
1984-06-11;0;25,94;95,5;
1984-06-12;4,8;25,16;93,25;
1984-06-13;0;25,34;91,5;
1984-06-14;0;25,58;92,5;
1984-06-15;0;25,5;87,75;
1984-06-16;0;25,32;89,5;
1984-06-17;0;26,08;92;
1984-06-18;0;25,98;88,25;
1984-06-19;0;25,42;90;
1984-06-20;0;26,32;88,75;
1984-06-21;0;25,04;88,5;
1984-06-22;0;24,58;88,75;
1984-06-23;0;25,8;89,5;
1984-06-24;0;25,86;87,25;
1984-06-25;0;25;85,75;
1984-06-26;0;24,5;87,75;
1984-06-27;0;24,46;85,5;
1984-06-28;0;26,08;83,5;
1984-06-29;0;26,4;83,5;
1984-06-30;0;25,74;83,75;
1984-07-01;0;26,72;null;
1984-07-02;0;26,38;null;
1984-07-03;0;27;null;
1984-07-04;0;27,58;null;
1984-07-05;0;25,86;null;
1984-07-06;0;25,1;null;
1984-07-07;0;25,86;null;
1984-07-08;0;25,68;null;
1984-07-09;0;26,02;null;
1984-07-10;0;25,48;null;
1984-07-11;0;25,68;null;
1984-07-12;0;26,3;null;
1984-07-13;0;25,72;null;
1984-07-14;0;25,96;null;
1984-07-15;0;25,58;null;
1984-07-16;3,2;24,98;null;
1984-07-17;0;27,18;null;
