Nome: CONCEICAO DO ARAGUAIA
Codigo Estacao: 82861
Latitude: -8.25916666
Longitude: -49.26388888
Altitude: 179.02
Situacao: Operante
Data Inicial: 2019-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2019-01-31;26.384516;
2019-02-28;26.903571;
2019-03-31;27.040645;
2019-04-30;27.424667;
2019-05-31;28.535484;
2019-06-30;28.9;
2019-07-31;null;
2019-08-31;29.738182;
2019-09-30;30.546667;
2019-10-31;27.216522;
2019-11-30;27.288;
2019-12-31;27.84;

